Genes,GSM458594,GSM458595,GSM458596,GSM458597,GSM458598,GSM458599,GSM458600,GSM458601
10338166,8.871689568,9.006511016,8.639524919,8.636935026,8.529361278,9.135758653,9.413179169,9.333805512
10338167,1.99388869,1.99191279,2.00103846,2.027880607,2.210704351,2.296183462,2.534648076,2.130770504
10338168,5.719496227,6.845501209,4.409897745,5.502050813,5.945337839,6.13196049,6.641260307,6.318982973
10338169,4.081896089,4.550645449,4.42146099,3.366924459,4.540505637,3.309187789,4.774108523,4.318085504
10338170,4.960899753,3.916608267,4.296436706,4.446626396,4.319184452,3.932615168,4.420620016,4.928001671
10338171,2.367682214,2.357131844,2.102778742,2.308755563,2.328886076,2.745221406,1.962272331,2.451669004
10338172,6.272959123,5.502081619,6.371892952,5.810137043,5.635435786,5.765085603,6.099545224,5.25444403
10338173,6.06033481,5.31986837,5.474886151,4.96240118,4.919653793,5.217771124,5.116506579,5.542622884
10338174,6.5740104,5.769482633,6.199337877,5.809522157,6.58392579,6.654990428,6.031668362,6.428385576
10338175,2.804044803,2.377077589,2.840443397,2.701404505,2.789992074,2.378101184,2.544427171,2.885948858
10338176,9.52359125,9.375226523,9.305653254,9.306282559,9.3426451,9.324582923,9.612675077,9.761409795
10338177,5.573011322,5.149481655,5.999983912,4.894476665,5.276608651,5.476967541,5.180906693,5.909644903
10338178,4.455208531,4.569750256,3.474597803,3.634291436,3.796924941,4.219631723,4.034236296,4.869460692
10338179,9.454369418,9.270637042,9.300845927,9.46735936,9.223983122,9.297879865,9.055573412,9.036383296
10338180,9.991780025,10.06939174,9.852784268,9.755267317,9.556952252,10.11425278,9.7542095,10.05917492
10338181,3.390067221,3.155024381,3.004707627,3.787404565,3.476656934,2.411070851,4.13080979,3.015175394
10338182,5.326238262,4.375701236,5.448839728,5.322694218,4.767377793,4.996557264,4.443483685,5.248677238
10338183,3.033551554,2.943772544,2.171655214,2.579412052,2.591015005,2.574122235,2.330855981,3.037516164
10338184,5.05758759,4.502075674,4.929819882,4.816786787,5.103399976,4.778227525,4.505194984,4.651838874
10338185,4.571061921,3.54248982,3.710906454,3.996695697,3.878346023,2.363316477,3.315183647,4.307033505
10338186,5.853560371,5.093059978,5.963341795,5.274001042,5.229027684,5.143008876,5.526144813,5.373228058
10338187,6.050787938,5.693909833,6.259828873,5.897152183,5.917274859,5.985358427,5.643448224,5.630980817
10338188,6.319916464,6.094790103,6.792353944,5.841445352,6.055345386,6.46996468,6.267399169,5.866417916
10338189,6.903775795,6.301636593,6.936983086,6.14860919,6.04123036,6.380791015,5.488010395,6.256875693
10338190,7.002850484,6.552923822,6.39441138,6.050927834,6.629402032,6.195428356,6.059907199,6.222134478
10338191,5.769556309,5.346825628,5.379324382,5.334553895,5.44156314,5.768255498,5.176697822,4.736367689
10338192,5.512618891,5.300783542,6.780023827,4.519974017,5.570640045,5.152587577,4.76094429,6.28351792
10338193,5.920422021,5.508126064,6.260548062,4.865114009,5.365243461,6.092262531,5.770094472,6.290983002
10338194,3.715919003,4.142236547,4.044871831,4.339747704,4.404548999,4.023434997,4.483511696,4.216074761
10338195,7.322267401,7.658359604,6.70024125,8.166139454,7.637077674,6.694851534,7.311191768,7.561963126
10338196,8.706756759,8.837180113,8.270658314,8.67894567,8.679172148,8.546477706,8.995828291,8.522980987
10338197,6.720436272,6.128023279,6.712221586,5.78913832,6.280349349,6.428357683,5.889685951,6.116212516
10338198,6.095398207,4.894829698,6.019437198,4.9874265,5.383999323,6.072611036,5.56768828,5.98179735
